name,description,image,perfumeHouse,notes,product_url
Anubis,"He Who Counts the Hearts, Jackal Ruler of the Bows, He Who Is In the Place of Embalming. Jackal-headed guardian, protector and psychopomp of Egypt’s dead, he guides souls to the underworld and holds steady the scales upon which the deceased’s heart is weighed against Ma’at’s Feather of Truth. He is the creator and master of funereal rites, He Who Opens the Mouth of the Dead, and is the sentinel that watches over the sanctity of tombs and the virtue and privacy of his charges.",https://blackphoenixalchemylab.com/wp-content/uploads/2013/07/Anubis-1-600x467.jpg,Black Phoenix Alchemy Lab,"[""storax"", ""balsam"", ""embalming herb"", ""animal - jackal"", ""myrrh"", ""holy"", ""death - funeral""]",https://blackphoenixalchemylab.com/shop/general-catalog-perfume-oils/excolo/anubis/
"Dead Leaves, Dried Lilacs, and Labdanum",$29.00,https://blackphoenixalchemylab.com/wp-content/uploads/2024/09/DEAD-LEAVES-DRIED-LILACS-AND-LABDANUM-pile-of-leaves-2024-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""labdanum"", ""lilac - dried"", ""leaf - dead""]",https://blackphoenixalchemylab.com/shop/in-memoriam/halloween-2024/pile-of-leaves-2024/dead-leaves-dried-lilacs-and-labdanum-perfume-oil/
Snakes in the Coconut Cake,Thick slices of coconut-frosted coconut cake dunked in a vat of Snake Oil.,https://blackphoenixalchemylab.com/wp-content/uploads/2024/10/snakes-in-the-coconut-cake-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""coconut cake"", ""hurricane helene"", ""snake oil"", ""of snake oil"", ""coconut"", ""activism""]",https://blackphoenixalchemylab.com/shop/activism/hurricane-helene-fundraiser/snakes-in-the-coconut-cake-perfume-oil/
Cold Moon 2024,The mists that slept on the river’s brim.Went up like the wings of the cherubim.,https://blackphoenixalchemylab.com/wp-content/uploads/2024/12/cold-moon-2024-web-600x483.jpg,Black Phoenix Alchemy Lab,"[""lily - water"", ""stone"", ""carrot seed"", ""jasmine petal"", ""moss"", ""bergamot - yellow"", ""plum - wild"", ""little lunacy""]",https://blackphoenixalchemylab.com/shop/a-little-lunacy-limited-edition/lunacy/cold-moon-2024-perfume-oil/
A Guardian Angel Serves a Small Breakfast,"Paul KleeRosenkuchen, coffee, and steamed milk with a burst of celestial amber musk.",https://blackphoenixalchemylab.com/wp-content/uploads/2025/03/A-Guardian-Angel-Serves-a-Small-Breakfast-boney-moon-feb-2025-art-WEB-600x792.jpg,Black Phoenix Alchemy Lab,"[""rosenkuchen"", ""celestial amber musk"", ""musk"", ""coffee"", ""amber"", ""milk - steamed""]",https://blackphoenixalchemylab.com/shop/a-little-lunacy-limited-edition/ars-anni/a-guardian-angel-serves-a-small-breakfast-perfume-oil/
In the Darkness They Murmured and Mingled,"And they laughed, changing hands in the measure,",https://blackphoenixalchemylab.com/wp-content/uploads/2024/02/In-the-darkness-they-murmured-and-mingled-LADY-OF-PAIN-2024-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""violet"", ""labdanum"", ""currant - black"", ""champaca flower"", ""plum - black""]",https://blackphoenixalchemylab.com/shop/in-memoriam/lupercalia/lupercalia-2024/our-lady-of-pain-2024/in-the-darkness-they-murmured-and-mingled-perfume-oil/
Hunter’s Moon 2024,"I and Pangur Bán, my cat,",https://blackphoenixalchemylab.com/wp-content/uploads/2024/10/hunter-moon-2024-WEB-600x483.jpg,Black Phoenix Alchemy Lab,"[""pumpkin incense"", ""tonka bean"", ""black fur"", ""bergamot - yellow"", ""amber - bronze"", ""chestnut - honeyed"", ""little lunacy""]",https://blackphoenixalchemylab.com/shop/a-little-lunacy-limited-edition/lunacy/hunters-moon-2024-perfume-oil/
Motel Sheet Ghost,"Chills and thrills, but certainly no frills: a polluted, rough-riding version of the Traditional Sheet Ghost: cool white cotton, marshmallow fluff, and lemony Oman frankincense, marred with suspicious blotches of coconut oil and a cigarette burn.",https://blackphoenixalchemylab.com/wp-content/uploads/2024/09/Motel-Sheet-Ghost-ALTERNATE-2-Freak-in-the-Sheets-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""coconut oil"", ""white cotton"", ""of coconut oil"", ""frankincense - oman"", ""marshmallow fluff"", ""cotton - white"", ""frankincense"", ""coconut""]",https://blackphoenixalchemylab.com/shop/in-memoriam/halloween-2024/freak-in-the-sheets-pt-ii/motel-sheet-ghost-perfume-oil/
Mummy Milk,"Condensed milk wrapped in coconut shavings and tea-stained linen with a hint of bitumen, myrrh, and embalming resins.",https://blackphoenixalchemylab.com/wp-content/uploads/2023/09/mummy-milk-halloween-milks-WEB-600x483.jpg,Black Phoenix Alchemy Lab,"[""monster milk 2023"", ""tea"", ""coconut shaving"", ""embalming resin"", ""tea-stained linen"", ""shaving and tea"", ""halloween 2023"", ""bitumen"", ""myrrh"", ""milk - condensed""]",https://blackphoenixalchemylab.com/shop/in-memoriam/halloween/halloween-2023/monster-milk/mummy-milk-perfume-oil/
Cat Stealing a Fish,"Salty driftwood, seafoam ambergris, white vetiver, marine lichen, and ocean spray.",https://blackphoenixalchemylab.com/wp-content/uploads/2024/02/cat-stealing-a-fish-shunga-2024-WEB-600x433.jpg,Black Phoenix Alchemy Lab,"[""seafoam"", ""ambergris"", ""vetiver - white"", ""driftwood"", ""vetiver"", ""white vetiver"", ""marine lichen"", ""ocean spray""]",https://blackphoenixalchemylab.com/shop/in-memoriam/lupercalia/novel-ideas-for-secret-amusements-2024/cat-stealing-a-fish-perfume-oil/
Quicken the Soul Through the Blood,Thou shalt touch and make redder his roses,https://blackphoenixalchemylab.com/wp-content/uploads/2024/02/quicken-the-soul-through-the-blood-LADY-OF-PAIN-2024-WEB-600x473.jpg,Black Phoenix Alchemy Lab,"[""jasmine - night blooming"", ""chamomoile - roman"", ""tea - white"", ""cacao"", ""patchouli - red""]",https://blackphoenixalchemylab.com/shop/in-memoriam/lupercalia/lupercalia-2024/our-lady-of-pain-2024/quicken-the-soul-through-the-blood-perfume-oil/
Pumpkin Spice Hot Buttered Rum,"Time to get cozy next to a crackling fire and let the season enfold you in its spicy, buttery arms.Please note: this scent, as well as the rest of the scents in this series, is vegan. No butters were buttered in the making of this perfume.",https://blackphoenixalchemylab.com/wp-content/uploads/2023/09/PUMPKIN-SPICE-HOT-BUTTERED-RUM-web-600x473.jpg,Black Phoenix Alchemy Lab,"[""halloween 2023""]",https://blackphoenixalchemylab.com/shop/in-memoriam/halloween/halloween-2023/pumpkin-patch-happy-hour/pumpkin-spice-hot-buttered-rum-perfume-oil/
