name,description,image,notes,perfumeHouse,url
Anne 5 ml Oil Perfume,"If you carrot all about literary heroines, you already know that it’s Anne with an “e”. This quintessential carrot cake scent was inspired by the spirited dreamer whose misadventures and love for puff...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/2214a627-7f29-4f65-8aaa-0cab4f1dc8af/10Birthday-2.jpg?format=750w,"[""carrot cake with cinnamon and pecans and cream cheese frosting""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/anne-oil-perfume
Gemini Anointing Oil,"Gemini is about self expression, seeing multiple perspectives, and fearless thinking. We’ve selected ingredients to support you in expressing your truth, to enhance self-awareness, to remove blocks ar...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/539e5cec-76ac-48a0-9790-d9fa3796ea46/Gemini-3.jpg?format=750w,[],Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/gemini-anointing-oil
Taurus Anointing Oil,"Earthy Taurus is all about comfort, stability, and enjoying the finer things (however you define them). We’ve selected ingredients that ground your goals and call in prosperity, luck, and success. Thi...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/d0813ffc-9b8a-47e4-a663-fcd0eed1a0ac/TaurusAnnointingOil-1.jpg?format=750w,[],Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/taurus-anointing-oil
Aries Anointing Oil,"First in our new zodiac anointing oil series, our Aries anointing oil is full of warmth and spicy goodness! We love this oil for starting a new project, removing energetic blocks, increasing confidenc...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/a1588295-6837-43d1-8ca3-cbee7808f9ab/AriesSneakPeak.jpg?format=750w,[],Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/aries-anointing-oil
Hades 4 oz Water Perfume,"A slightly camphorous opening adds an edge of the unearthly and hints at hellfire beneath, which quickly melds into a velvety white musk. The play of shadow and light will capture your heart and soul....",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/5919c90e-441a-4f2e-a88e-76db3879b197/Persephone+Rising-3.jpg?format=750w,"[""smooth white musk"", ""warm skin"", ""white patchouli"", ""the sunlit path into an ominous dark forest""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/hades-water-perfume
Hades Oil Perfume,"A slightly camphorous opening adds an edge of the unearthly and hints at hellfire beneath, which quickly melds into a velvety white musk. The play of shadow and light will capture your heart and soul....",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/5c4199d0-69b4-436f-867b-b068c8c00324/Persephone+Rising-2.jpg?format=750w,"[""smooth white musk"", ""warm skin"", ""white patchouli"", ""the sunlit path into an ominous dark forest""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/hades-oil-perfume
Persephone 4 oz Water Perfume,"An opening of tart, bright pomegranate brings in the freshness of verdant spring, melding seamlessly into delicately sweet sugared violets for a swooningly feminine floralcy. Creamy sandalwood grounds...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/b0b34238-c100-45d1-9e0c-1e218775cd0d/Persephone+Rising-4.jpg?format=750w,"[""bright pomegranate"", ""sugared violets"", ""creamy sandalwood"", ""vanilla orchid"", ""styrax"", ""sensual musk""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/persephone-water-perfume
Persephone Oil Perfume,"An opening of tart, bright pomegranate brings in the freshness of verdant spring, melding seamlessly into delicately sweet sugared violets for a swooningly feminine floralcy. Creamy sandalwood grounds...",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/b4addd0a-aa52-4fb6-b2f2-dbac933d71b5/Persephone+Rising-1.jpg?format=750w,"[""bright pomegranate"", ""sugared violets"", ""creamy sandalwood"", ""vanilla orchid"", ""styrax"", ""sensual musk""]",Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/persephone-oil-perfume
Union Loose Leaf Tea,"Peaches, Petals + Honeybush Tea",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/5dc1e260-2b65-4e54-9107-2554559feecc/Poesie+Tea-13.jpg?format=750w,[],Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/union-loose-leaf-tea
Twice to Tea Loose Leaf Tea,Lavender Vanilla Earl Grey Tea,https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/2a90141f-6ad2-489a-8d1b-64d8e228cb67/PoesieTea-3+%281%29.jpg?format=750w,[],Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/twice-to-tea-loose-leaf-tea
Tudor Rose Loose Leaf Tea,Cherry Rose Vanilla Cocoa Black Tea,https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/2c42dd90-7e10-4587-ba33-764515ff85ae/PoesieTea-7.jpg?format=750w,[],Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/tudor-rose-loose-leaf-tea
S'more Tea Loose Leaf Tea,"Black Tea with Vanilla, Chocolate, and Smoky Notes",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/0c7299e1-1e33-4184-b8e9-a622dd1ddd26/Poesie+Tea-09.jpg?format=750w,[],Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/smore-tea-loose-leaf-tea
Royal Wedding Loose Leaf Tea,Blueberry Lavender Angel Food Cake Black Tea,https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/68fa425b-7ef8-4b31-b15a-8a87a5cf8679/PoesieTea-6.jpg?format=750w,[],Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/royal-wedding-loose-leaf-tea
Relevé Loose Leaf Tea,Sugar Plum Coffee Cake Black Tea,https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/a487009e-16a7-4e2a-bdc5-4105bc1b6128/releve+tea.jpg?format=750w,[],Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/relev-loose-leaf-tea
Pink Moon Loose Leaf Tea,Chocolate-Covered Strawberry Pu-erh,https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/51ff2b2f-d23e-4e71-9979-8fd42986f64c/pink+moon+tea.jpg?format=750w,[],Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/pink-moon-loose-leaf-tea
Palace Chai Loose Leaf Tea,Coconut Cream Pie Masala Chai,https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/4aed719d-145a-42dc-b12d-c7f4d3c37f17/palace%2Bchai%2Btea.jpg?format=500w,[],Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/palace-chai-loose-leaf-tea
Osborne House Loose Leaf Tea,Lavender Rose Vanilla Rooibos,https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/5a0990d9-b56b-473b-996f-61571a9e153e/osbourne+house+tea.jpg?format=750w,[],Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/osborne-house-loose-leaf-tea
Ooh La La Loose Leaf Tea,Almond Orange Blossom Madeleine Tea,https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/81afd324-4e7a-4304-8806-d4870622e6e1/ooh+la+la+tea.jpg?format=750w,[],Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/ooh-la-la-loose-leaf-tea
Olympus Loose Leaf Tea,Chocolate Peppermint Yerba Mate + Black Tea,https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/50cbd9b4-f77b-4349-97f4-67aaf1952fd3/olympus+tea.jpg?format=750w,[],Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/olympus-loose-leaf-tea
London Smoke & Fog Loose Leaf Tea,"Earl Grey, Vanilla, Lapsang Souchong",https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/d2af7ede-eff3-4303-bf52-fce455797540/london+smoke+%26+fog+tea.jpg?format=750w,[],Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/london-smoke-fog-loose-leaf-tea
L'hiver Dégagé Loose Leaf Tea,Almond Cinnamon Brioche Tea,https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/ed1eaf91-07ed-4088-a41b-36c772014e9e/l%27hiver+degage+tea.jpg?format=750w,[],Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/lhiver-dgag-loose-leaf-tea
Geneva Loose Leaf Tea,Rosemary Vanilla Green Tea,https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/a577fa61-e4c6-4072-b6cf-db935dd9bcd0/Poesie+Tea-12.jpg?format=750w,[],Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/geneva-loose-leaf-tea
Fearless Loose Leaf Tea,Apple Spice Chamomile Tea,https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/fdbfc8c9-13cf-47fd-b203-a613f3d21e38/PoesieTea-5.jpg?format=750w,[],Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/fearless-loose-leaf-tea
Fancy a Cuppa Loose Leaf Tea,Caramel + Citrus Black Tea,https://images.squarespace-cdn.com/content/v1/674882b359c5d57a038c7dae/1491c65e-41db-4d07-ba5c-dc1b9df45798/Poesie+Tea-10.jpg?format=750w,[],Poesie Perfume and Tea,https://www.poesieperfume.com/shop/p/fancy-a-cuppa-loose-leaf-tea
